State,Week,Salesforce,Email,Website,TV,Meta,Instagram,Influencer,Year,Month,Quarter,Week_Number,Month_End,Quarter_End,Festival,Holiday,Sales
Andhra Pradesh,2023-10-16,1968,38005,67888,494,1507365,1052775,17,2023,10,4,42,False,False,1,1,888
Andhra Pradesh,2023-10-23,1841,15085,113110,384,113713,1066036,22,2023,10,4,43,False,False,1,1,859
Andhra Pradesh,2023-10-30,1080,13959,9564,132,2410211,1547036,28,2023,10,4,44,True,False,1,1,918
Andhra Pradesh,2023-11-06,449,14396,40473,206,1520443,1403178,3,2023,11,4,45,False,False,1,1,878
Andhra Pradesh,2023-11-13,2436,15496,8250,253,2377227,1232596,23,2023,11,4,46,False,False,1,1,876
Andhra Pradesh,2023-11-20,1280,27947,83887,156,946791,1425059,25,2023,11,4,47,False,False,1,1,895
Andhra Pradesh,2023-11-27,2265,19193,65194,438,851773,576247,12,2023,11,4,48,True,False,1,1,923
Andhra Pradesh,2023-12-04,1792,30023,40219,475,1353777,1304163,23,2023,12,4,49,False,False,1,1,994
Andhra Pradesh,2023-12-11,2013,17814,42155,183,2172241,1757033,16,2023,12,4,50,False,False,1,1,1003
Andhra Pradesh,2023-12-18,1972,13693,80101,86,1417345,484138,21,2023,12,4,51,False,False,1,1,1014
Andhra Pradesh,2023-12-25,728,9221,28195,192,2001935,1062130,13,2023,12,4,52,True,True,1,1,1231
Andhra Pradesh,2024-01-01,1100,22940,65630,325,614672,1251686,7,2024,1,1,1,False,False,1,1,948
Andhra Pradesh,2024-01-08,1327,36139,76723,420,1961917,968819,26,2024,1,1,2,False,False,1,1,889
Andhra Pradesh,2024-01-15,1395,34641,34877,222,1857906,1746419,8,2024,1,1,3,False,False,1,1,857
Andhra Pradesh,2024-01-22,396,11625,33585,195,2251074,774036,7,2024,1,1,4,False,False,1,1,836
Andhra Pradesh,2024-01-29,1502,20150,47673,184,238329,454701,27,2024,1,1,5,True,False,1,1,894
Andhra Pradesh,2024-02-05,639,28801,74327,81,1022056,314512,29,2024,2,1,6,False,False,0,0,918
Andhra Pradesh,2024-02-12,1936,25272,36492,85,312882,1540772,19,2024,2,1,7,False,False,0,0,865
Andhra Pradesh,2024-02-19,1803,4551,50478,260,1060132,1260286,18,2024,2,1,8,False,False,0,0,890
Andhra Pradesh,2024-02-26,2330,24460,68866,339,1921357,1074160,12,2024,2,1,9,True,False,0,0,872
Andhra Pradesh,2024-03-04,1939,3472,28915,85,1636126,820975,19,2024,3,1,10,False,False,0,0,859
Andhra Pradesh,2024-03-11,1106,6427,71720,164,1907187,785104,19,2024,3,1,11,False,False,0,0,867
Andhra Pradesh,2024-03-18,2429,26842,23467,463,1870731,1687534,16,2024,3,1,12,False,False,0,0,880
Andhra Pradesh,2024-03-25,1204,5896,23964,496,2481398,1250229,20,2024,3,1,13,True,True,0,0,1071
Andhra Pradesh,2024-04-01,1017,14882,34528,350,2211369,1739968,18,2024,4,2,14,False,False,0,0,958
Andhra Pradesh,2024-04-08,2293,24360,40089,299,1506998,1458591,27,2024,4,2,15,False,False,0,0,894
Andhra Pradesh,2024-04-15,1115,26908,11341,325,2202029,1400343,21,2024,4,2,16,False,False,0,0,868
Andhra Pradesh,2024-04-22,468,18938,115700,235,214984,1032255,13,2024,4,2,17,False,False,0,0,886
Andhra Pradesh,2024-04-29,1333,5572,42510,164,1831215,497091,20,2024,4,2,18,True,False,0,0,913
Andhra Pradesh,2024-05-06,2051,32366,98118,238,1352883,1204114,8,2024,5,2,19,False,False,0,0,844
Andhra Pradesh,2024-05-13,717,38095,109019,374,2396543,1311485,8,2024,5,2,20,False,False,0,0,820
Andhra Pradesh,2024-05-20,1318,35772,97672,358,1309016,977788,25,2024,5,2,21,False,False,0,0,829
Andhra Pradesh,2024-05-27,585,30444,101113,365,528708,115125,18,2024,5,2,22,True,False,0,0,909
Andhra Pradesh,2024-06-03,1810,17284,19208,336,1837860,1731206,3,2024,6,2,23,False,False,0,0,873
Andhra Pradesh,2024-06-10,1347,35299,49664,105,2380816,1501409,12,2024,6,2,24,False,False,0,0,878
Andhra Pradesh,2024-06-17,1026,20551,91573,343,138823,685792,30,2024,6,2,25,False,False,0,0,864
Andhra Pradesh,2024-06-24,799,7186,72493,450,254059,929024,20,2024,6,2,26,True,True,0,0,1052
Andhra Pradesh,2024-07-01,1542,34321,8633,353,1687088,292189,27,2024,7,3,27,False,False,0,0,952
Andhra Pradesh,2024-07-08,1774,14166,71544,323,1433493,1691193,17,2024,7,3,28,False,False,0,0,890
Andhra Pradesh,2024-07-15,2369,37671,98106,174,1416648,476682,3,2024,7,3,29,False,False,0,0,874
Andhra Pradesh,2024-07-22,1262,15997,100819,413,316472,729747,7,2024,7,3,30,False,False,0,0,840
Andhra Pradesh,2024-07-29,653,35037,50995,270,1473048,817107,4,2024,7,3,31,True,False,0,0,872
Andhra Pradesh,2024-08-05,2132,22413,34464,190,1463202,532658,23,2024,8,3,32,False,False,1,1,858
Andhra Pradesh,2024-08-12,1686,19761,42670,286,2138271,1171660,23,2024,8,3,33,False,False,1,1,836
Andhra Pradesh,2024-08-19,1841,13281,41195,131,1036263,1791497,15,2024,8,3,34,False,False,1,1,867
Andhra Pradesh,2024-08-26,513,33757,46816,470,934970,1551037,23,2024,8,3,35,True,False,1,1,901
Andhra Pradesh,2024-09-02,987,4304,41800,375,295862,992766,17,2024,9,3,36,False,False,0,0,879
Andhra Pradesh,2024-09-09,1990,19817,59206,217,1460555,305259,23,2024,9,3,37,False,False,0,0,885
Andhra Pradesh,2024-09-16,2131,16017,12577,414,1655480,1564674,21,2024,9,3,38,False,False,0,0,887
Andhra Pradesh,2024-09-23,1257,22649,38822,102,773742,521593,15,2024,9,3,39,False,False,0,0,889
Andhra Pradesh,2024-09-30,2071,11673,43245,242,1854875,1647019,20,2024,9,3,40,True,True,0,0,1054
Andhra Pradesh,2024-10-07,2152,27255,25174,354,2351328,760141,11,2024,10,4,41,False,False,1,1,917
Andhra Pradesh,2024-10-14,1152,16665,106327,89,518045,971766,23,2024,10,4,42,False,False,1,1,883
Andhra Pradesh,2024-10-21,2276,9149,83655,378,1474467,831108,28,2024,10,4,43,False,False,1,1,835
Andhra Pradesh,2024-10-28,934,9484,110143,424,1766648,863828,7,2024,10,4,44,True,False,1,1,857
Andhra Pradesh,2024-11-04,827,28467,70897,330,144317,363764,21,2024,11,4,45,False,False,1,1,830
Andhra Pradesh,2024-11-11,1802,11952,20279,166,529714,1030964,5,2024,11,4,46,False,False,1,1,819
Andhra Pradesh,2024-11-18,1701,13675,109318,395,1049523,773111,12,2024,11,4,47,False,False,1,1,853
Andhra Pradesh,2024-11-25,607,25824,59303,222,429751,1538112,21,2024,11,4,48,True,False,1,1,882
Andhra Pradesh,2024-12-02,2132,14532,84657,389,953236,900819,10,2024,12,4,49,False,False,1,1,944
Andhra Pradesh,2024-12-09,739,16750,50711,344,453671,1739216,8,2024,12,4,50,False,False,1,1,1005
Andhra Pradesh,2024-12-16,2071,11290,63360,119,2251888,590266,13,2024,12,4,51,False,False,1,1,991
Andhra Pradesh,2024-12-23,316,15124,62808,122,1537788,644714,5,2024,12,4,52,False,False,1,1,1004
Andhra Pradesh,2024-12-30,2053,28326,39887,86,890012,143166,20,2024,12,4,1,True,True,1,1,1189
Andhra Pradesh,2025-01-06,2032,22288,70129,110,1969098,1350444,5,2025,1,1,2,False,False,1,1,962
Andhra Pradesh,2025-01-13,2017,39907,90178,206,144199,206370,11,2025,1,1,3,False,False,1,1,867
Andhra Pradesh,2025-01-20,1763,31331,10269,90,1532545,570844,11,2025,1,1,4,False,False,1,1,850
Andhra Pradesh,2025-01-27,1337,2639,22662,475,1740264,1646150,30,2025,1,1,5,True,False,1,1,929
Andhra Pradesh,2025-02-03,1852,16397,102331,465,2042444,1130839,30,2025,2,1,6,False,False,0,0,851
Andhra Pradesh,2025-02-10,909,13014,71800,152,633456,1041100,4,2025,2,1,7,False,False,0,0,865
Andhra Pradesh,2025-02-17,2018,24326,117051,211,1519546,1464238,6,2025,2,1,8,False,False,0,0,859
Andhra Pradesh,2025-02-24,1522,12095,75723,392,1942427,1406968,23,2025,2,1,9,True,False,0,0,892
Andhra Pradesh,2025-03-03,1310,38716,81181,358,2013571,1604757,10,2025,3,1,10,False,False,0,0,834
Andhra Pradesh,2025-03-10,1412,13376,108690,324,521558,1224272,20,2025,3,1,11,False,False,0,0,857
Andhra Pradesh,2025-03-17,1551,21835,81971,496,2443654,851792,28,2025,3,1,12,False,False,0,0,855
Andhra Pradesh,2025-03-24,382,6670,44918,345,757516,304738,6,2025,3,1,13,False,False,0,0,862
Andhra Pradesh,2025-03-31,607,36573,67134,361,1038303,715980,29,2025,3,1,14,True,True,0,0,1050
Andhra Pradesh,2025-04-07,840,36651,34388,291,560941,1293020,3,2025,4,2,15,False,False,0,0,961
Andhra Pradesh,2025-04-14,552,32160,45438,301,459861,515937,8,2025,4,2,16,False,False,0,0,883
Andhra Pradesh,2025-04-21,1267,15362,84192,202,713112,1234077,16,2025,4,2,17,False,False,0,0,843
Andhra Pradesh,2025-04-28,1771,4231,24685,299,424952,309477,27,2025,4,2,18,True,False,0,0,909
Andhra Pradesh,2025-05-05,1740,29017,83262,466,1858643,183914,18,2025,5,2,19,False,False,0,0,888
Andhra Pradesh,2025-05-12,1336,18306,73415,238,1533946,707658,6,2025,5,2,20,False,False,0,0,900
Andhra Pradesh,2025-05-19,2182,39635,42539,136,1036068,475390,9,2025,5,2,21,False,False,0,0,889
Andhra Pradesh,2025-05-26,1544,28536,13033,332,1413047,1579802,24,2025,5,2,22,True,False,0,0,928
Andhra Pradesh,2025-06-02,474,22468,86918,410,1550087,730630,18,2025,6,2,23,False,False,0,0,925
Andhra Pradesh,2025-06-09,1983,39496,100345,483,542165,800352,2,2025,6,2,24,False,False,0,0,844
Andhra Pradesh,2025-06-16,1564,32418,89769,308,812700,774027,16,2025,6,2,25,False,False,0,0,838
Andhra Pradesh,2025-06-23,1697,19418,55142,411,2217052,625744,13,2025,6,2,26,False,False,0,0,829
Andhra Pradesh,2025-06-30,1544,2716,81196,185,129033,1658487,2,2025,6,2,27,True,True,0,0,1000
Andhra Pradesh,2025-07-07,1518,5525,54452,258,2396197,1351308,9,2025,7,3,28,False,False,0,0,867
Andhra Pradesh,2025-07-14,499,18861,48125,256,2414294,353217,29,2025,7,3,29,False,False,0,0,886
Andhra Pradesh,2025-07-21,1530,23356,44643,219,707717,450805,22,2025,7,3,30,False,False,0,0,871
Andhra Pradesh,2025-07-28,2049,3145,31615,381,869707,219333,4,2025,7,3,31,True,False,0,0,865
Andhra Pradesh,2025-08-04,968,6809,116568,451,596519,520813,2,2025,8,3,32,False,False,1,1,821
Andhra Pradesh,2025-08-11,1626,28763,82616,217,1445579,1209308,12,2025,8,3,33,False,False,1,1,849
Andhra Pradesh,2025-08-18,367,30558,27590,137,613412,1689763,15,2025,8,3,34,False,False,1,1,877
Andhra Pradesh,2025-08-25,1064,3132,104885,427,1997637,908418,15,2025,8,3,35,True,False,1,1,960
Andhra Pradesh,2025-09-01,1261,21292,24946,437,1029812,220334,22,2025,9,3,36,False,False,0,0,974
Andhra Pradesh,2025-09-08,2463,5077,74492,473,2421842,161501,7,2025,9,3,37,False,False,0,0,907
Andhra Pradesh,2025-09-15,772,29491,26539,187,2147746,793166,3,2025,9,3,38,False,False,0,0,839
Andhra Pradesh,2025-09-22,908,33695,48458,382,1063154,535264,21,2025,9,3,39,False,False,0,0,802
Andhra Pradesh,2025-09-29,1199,35036,81755,381,1530306,1072012,28,2025,9,3,40,True,True,0,0,1031
Andhra Pradesh,2025-10-06,2484,24731,119902,412,158526,283455,6,2025,10,4,41,False,False,1,1,898
Andhra Pradesh,2025-10-13,2178,25900,119093,419,262128,476048,12,2025,10,4,42,False,False,1,1,861
Andhra Pradesh,2025-10-20,376,37211,108304,481,1314466,1036039,20,2025,10,4,43,False,False,1,1,849
Andhra Pradesh,2025-10-27,814,25273,34373,280,1235150,563341,6,2025,10,4,44,True,False,1,1,891
Andhra Pradesh,2025-11-03,2108,18958,18472,111,1055911,707293,26,2025,11,4,45,False,False,1,1,904
Andhra Pradesh,2025-11-10,428,30674,109430,160,316796,461574,8,2025,11,4,46,False,False,1,1,877
Andhra Pradesh,2025-11-17,2183,24452,111393,453,2115679,168592,17,2025,11,4,47,False,False,1,1,864
Andhra Pradesh,2025-11-24,919,34014,39205,435,1074914,673719,11,2025,11,4,48,True,False,1,1,878
Andhra Pradesh,2025-12-01,2319,21939,10147,84,1228030,647121,21,2025,12,4,49,False,False,1,1,916
Andhra Pradesh,2025-12-08,946,35024,80565,234,1068448,1625430,7,2025,12,4,50,False,False,1,1,951
Andhra Pradesh,2025-12-15,1255,3704,16522,183,1293638,1615478,4,2025,12,4,51,False,False,1,1,967
Andhra Pradesh,2025-12-22,1756,3384,12535,215,1656047,822330,16,2025,12,4,52,False,False,1,1,1030
Andhra Pradesh,2025-12-29,577,5763,112961,348,1933560,575331,27,2025,12,4,1,True,True,1,1,1235
Arunachal Pradesh,2023-01-02,381,5783,15878,73,354672,199666,5,2023,1,1,1,False,False,1,1,185
Arunachal Pradesh,2023-01-09,352,7235,5137,70,124583,281395,5,2023,1,1,2,False,False,1,1,217
Arunachal Pradesh,2023-01-16,506,2554,20328,65,549853,186229,3,2023,1,1,3,False,False,1,1,208
Arunachal Pradesh,2023-01-23,623,1979,12337,87,195778,345143,1,2023,1,1,4,False,False,1,1,203
Arunachal Pradesh,2023-01-30,440,8673,17017,91,34765,434570,3,2023,1,1,5,True,False,1,1,223
Arunachal Pradesh,2023-02-06,300,7630,27168,24,48424,193438,7,2023,2,1,6,False,False,0,0,300
Arunachal Pradesh,2023-02-13,298,6659,8659,34,489399,70438,6,2023,2,1,7,False,False,0,0,253
Arunachal Pradesh,2023-02-20,304,5139,20102,55,257174,71949,5,2023,2,1,8,False,False,0,0,277
Arunachal Pradesh,2023-02-27,522,4492,25198,65,38595,394906,2,2023,2,1,9,True,False,0,0,248
Arunachal Pradesh,2023-03-06,251,695,13865,124,511865,198921,4,2023,3,1,10,False,False,0,0,274
Arunachal Pradesh,2023-03-13,166,2287,29164,113,207573,160679,5,2023,3,1,11,False,False,0,0,272
Arunachal Pradesh,2023-03-20,258,9021,14552,88,611772,286341,5,2023,3,1,12,False,False,0,0,259
Arunachal Pradesh,2023-03-27,87,3720,14857,23,552798,431300,6,2023,3,1,13,True,True,0,0,313
Arunachal Pradesh,2023-04-03,133,7193,26757,30,53900,202601,5,2023,4,2,14,False,False,0,0,261
Arunachal Pradesh,2023-04-10,124,7186,19805,68,439248,155547,2,2023,4,2,15,False,False,0,0,263
Arunachal Pradesh,2023-04-17,499,3439,26324,81,386929,390970,2,2023,4,2,16,False,False,0,0,238
Arunachal Pradesh,2023-04-24,472,2441,24131,89,128198,55635,4,2023,4,2,17,True,False,0,0,228
Arunachal Pradesh,2023-05-01,458,7071,21946,34,230838,383036,6,2023,5,2,18,False,False,0,0,216
Arunachal Pradesh,2023-05-08,329,1389,8761,113,319470,243618,7,2023,5,2,19,False,False,0,0,251
Arunachal Pradesh,2023-05-15,469,5200,13167,71,112668,28668,4,2023,5,2,20,False,False,0,0,294
Arunachal Pradesh,2023-05-22,163,8936,26204,82,458142,117982,4,2023,5,2,21,False,False,0,0,272
Arunachal Pradesh,2023-05-29,570,7257,19249,24,191378,312066,6,2023,5,2,22,True,False,0,0,274
Arunachal Pradesh,2023-06-05,350,7760,9845,106,587406,343785,7,2023,6,2,23,False,False,0,0,274
Arunachal Pradesh,2023-06-12,591,1291,11165,77,506011,104117,0,2023,6,2,24,False,False,0,0,285
Arunachal Pradesh,2023-06-19,158,2398,23723,43,405592,302641,2,2023,6,2,25,False,False,0,0,261
Arunachal Pradesh,2023-06-26,348,3113,6989,53,96860,445385,2,2023,6,2,26,True,True,0,0,289
Arunachal Pradesh,2023-07-03,458,3277,5138,57,39805,315181,4,2023,7,3,27,False,False,0,0,291
Arunachal Pradesh,2023-07-10,347,2343,23423,22,112551,322053,2,2023,7,3,28,False,False,0,0,271
Arunachal Pradesh,2023-07-17,320,9734,10074,119,324821,103200,2,2023,7,3,29,False,False,0,0,290
Arunachal Pradesh,2023-07-24,166,2067,23431,104,493754,294123,0,2023,7,3,30,False,False,0,0,252
Arunachal Pradesh,2023-07-31,284,7227,16941,113,116777,324711,0,2023,7,3,31,True,False,0,0,209
Arunachal Pradesh,2023-08-07,206,6074,29939,57,449421,67576,3,2023,8,3,32,False,False,1,1,196
Arunachal Pradesh,2023-08-14,240,6300,16697,78,53667,153872,7,2023,8,3,33,False,False,1,1,279
Arunachal Pradesh,2023-08-21,451,2539,26289,68,184364,399514,2,2023,8,3,34,False,False,1,1,302
Arunachal Pradesh,2023-08-28,421,3422,25812,70,384106,449430,2,2023,8,3,35,True,False,1,1,273
Arunachal Pradesh,2023-09-04,409,6261,7935,81,522024,94477,2,2023,9,3,36,False,False,0,0,243
Arunachal Pradesh,2023-09-11,274,3341,29891,67,491153,334660,7,2023,9,3,37,False,False,0,0,291
Arunachal Pradesh,2023-09-18,603,7094,22882,101,344589,235698,5,2023,9,3,38,False,False,0,0,242
Arunachal Pradesh,2023-09-25,123,875,5001,26,46636,273877,5,2023,9,3,39,True,True,0,0,282
Arunachal Pradesh,2023-10-02,263,1191,2169,40,201033,239698,1,2023,10,4,40,False,False,1,1,272
Arunachal Pradesh,2023-10-09,139,7420,9598,113,495153,392860,7,2023,10,4,41,False,False,1,1,254
Arunachal Pradesh,2023-10-16,261,6359,2454,112,73725,211398,1,2023,10,4,42,False,False,1,1,247
Arunachal Pradesh,2023-10-23,604,910,12012,106,448832,273404,7,2023,10,4,43,False,False,1,1,252
Arunachal Pradesh,2023-10-30,276,9041,29898,58,447353,307787,7,2023,10,4,44,True,False,1,1,281
Arunachal Pradesh,2023-11-06,574,546,15409,68,476192,257682,4,2023,11,4,45,False,False,1,1,301
Arunachal Pradesh,2023-11-13,347,9577,2669,22,155339,398241,6,2023,11,4,46,False,False,1,1,277
Arunachal Pradesh,2023-11-20,460,7430,15829,49,171837,122045,7,2023,11,4,47,False,False,1,1,284
Arunachal Pradesh,2023-11-27,326,9887,8134,96,144101,427642,4,2023,11,4,48,True,False,1,1,228
Arunachal Pradesh,2023-12-04,221,9514,25973,56,261157,311588,6,2023,12,4,49,False,False,1,1,273
Arunachal Pradesh,2023-12-11,495,3474,4535,70,339371,432824,4,2023,12,4,50,False,False,1,1,267
Arunachal Pradesh,2023-12-18,608,7686,23575,32,96850,181097,4,2023,12,4,51,False,False,1,1,254
Arunachal Pradesh,2023-12-25,220,2503,14487,72,365438,225901,2,2023,12,4,52,True,True,1,1,308
Arunachal Pradesh,2024-01-01,503,4980,2527,95,168334,38525,5,2024,1,1,1,False,False,1,1,265
Arunachal Pradesh,2024-01-08,218,2781,20847,80,362287,417311,2,2024,1,1,2,False,False,1,1,275
Arunachal Pradesh,2024-01-15,469,5117,14740,78,206673,370906,1,2024,1,1,3,False,False,1,1,217
Arunachal Pradesh,2024-01-22,509,8787,23603,116,597782,147411,2,2024,1,1,4,False,False,1,1,232
Arunachal Pradesh,2024-01-29,322,4643,19306,44,216662,42305,0,2024,1,1,5,True,False,1,1,226
Arunachal Pradesh,2024-02-05,480,1377,24043,51,547784,319642,7,2024,2,1,6,False,False,0,0,239
Arunachal Pradesh,2024-02-12,224,3584,14891,85,130023,309089,2,2024,2,1,7,False,False,0,0,269
Arunachal Pradesh,2024-02-19,118,7972,2222,70,75950,246900,6,2024,2,1,8,False,False,0,0,276
Arunachal Pradesh,2024-02-26,128,5456,5658,123,138227,87390,3,2024,2,1,9,True,False,0,0,307
Arunachal Pradesh,2024-03-04,320,5821,14849,26,276623,414908,2,2024,3,1,10,False,False,0,0,262
Arunachal Pradesh,2024-03-11,571,4596,13129,32,565882,206005,2,2024,3,1,11,False,False,0,0,231
Arunachal Pradesh,2024-03-18,145,3281,24242,55,130748,331562,6,2024,3,1,12,False,False,0,0,242
Arunachal Pradesh,2024-03-25,325,6182,13526,68,495336,389409,4,2024,3,1,13,True,True,0,0,308
Arunachal Pradesh,2024-04-01,462,6514,26085,113,443145,255780,3,2024,4,2,14,False,False,0,0,275
Arunachal Pradesh,2024-04-08,186,9032,7256,72,231686,60600,5,2024,4,2,15,False,False,0,0,235
Arunachal Pradesh,2024-04-15,472,6369,12776,66,226846,401717,6,2024,4,2,16,False,False,0,0,254
Arunachal Pradesh,2024-04-22,243,9952,23176,37,593586,306874,5,2024,4,2,17,False,False,0,0,262
Arunachal Pradesh,2024-04-29,519,8352,5474,65,453779,404584,3,2024,4,2,18,True,False,0,0,331
Arunachal Pradesh,2024-05-06,393,1248,10999,75,168353,283426,6,2024,5,2,19,False,False,0,0,331
Arunachal Pradesh,2024-05-13,375,4225,23052,81,572115,410205,6,2024,5,2,20,False,False,0,0,264
Arunachal Pradesh,2024-05-20,172,4154,18491,83,269092,393038,7,2024,5,2,21,False,False,0,0,257
Arunachal Pradesh,2024-05-27,329,528,23786,65,72817,112723,1,2024,5,2,22,True,False,0,0,226
Arunachal Pradesh,2024-06-03,546,2216,16440,36,513115,94276,6,2024,6,2,23,False,False,0,0,232
Arunachal Pradesh,2024-06-10,85,7740,26057,36,546235,88899,1,2024,6,2,24,False,False,0,0,246
Arunachal Pradesh,2024-06-17,492,3845,26568,36,290731,363908,4,2024,6,2,25,False,False,0,0,279
Arunachal Pradesh,2024-06-24,346,1904,29287,85,447356,123366,5,2024,6,2,26,True,True,0,0,300
Arunachal Pradesh,2024-07-01,470,3231,5416,110,165775,213552,1,2024,7,3,27,False,False,0,0,245
Arunachal Pradesh,2024-07-08,439,3109,18553,112,535215,358829,0,2024,7,3,28,False,False,0,0,178
Arunachal Pradesh,2024-07-15,312,2158,5199,52,246121,204316,7,2024,7,3,29,False,False,0,0,226
Arunachal Pradesh,2024-07-22,244,1461,8409,28,185383,46596,6,2024,7,3,30,False,False,0,0,222
Arunachal Pradesh,2024-07-29,420,7758,10409,86,325432,175567,1,2024,7,3,31,True,False,0,0,235
Arunachal Pradesh,2024-08-05,152,8333,20092,24,185335,60673,4,2024,8,3,32,False,False,1,1,223
Arunachal Pradesh,2024-08-12,396,5214,14074,85,397386,185796,1,2024,8,3,33,False,False,1,1,231
Arunachal Pradesh,2024-08-19,127,6347,26212,60,473608,336789,4,2024,8,3,34,False,False,1,1,199
Arunachal Pradesh,2024-08-26,432,9233,10359,108,268364,243582,2,2024,8,3,35,True,False,1,1,203
Arunachal Pradesh,2024-09-02,420,8505,19282,85,495067,310197,5,2024,9,3,36,False,False,0,0,290
Arunachal Pradesh,2024-09-09,121,809,23369,97,283782,65923,4,2024,9,3,37,False,False,0,0,234
Arunachal Pradesh,2024-09-16,491,9553,29448,62,607125,342562,4,2024,9,3,38,False,False,0,0,219
Arunachal Pradesh,2024-09-23,303,1136,8867,108,183366,202778,5,2024,9,3,39,False,False,0,0,290
Arunachal Pradesh,2024-09-30,507,752,22541,75,447841,143407,3,2024,9,3,40,True,True,0,0,392
